questionTitle,slug,difficulty,tags
Inverse of a 2x2 matrix,https://machinehack.com/practices/printing-the-inverse-of-a-2x2-matrix-using-scipy-edf80.html,Hard,"SciPy,NumPy,Matrix,Array"
Inverse of a 3x3 matrix,https://machinehack.com/practices/printing-the-inverse-of-a-3x3-matrix-using-scipy-32e1d.html,Hard,"SciPy,NumPy,Matrix,Array"
Determinant of a 2x2 matrix,https://machinehack.com/practices/printing-the-determinant-of-a-2x2-matrix-using-scipy-d1dc7.html,Hard,"SciPy,NumPy,Array,Matrix"
Determinant of a 3x3 matrix,https://machinehack.com/practices/printing-the-determinant-of-a-3x3-matrix-using-scipy-9b239.html,Hard,"SciPy,NumPy,Array,Matrix"
Norm of a matrix,https://machinehack.com/practices/printing-the-norm-of-a-matrix-976c6.html,Hard,"SciPy,NumPy,Matrix,Array"
Factorial of a list,https://machinehack.com/practices/printing-the-factorial-of-a-list-9c71b.html,Hard,"SciPy,NumPy,List"
Calculate the gravitational force,https://machinehack.com/practices/calculating-the-gravitational-force-d0a36.html,Hard,"NumPy,SciPy"
Area of the circle,https://machinehack.com/practices/calculating-the-area-of-the-circle-6e5e1.html,Hard,"SciPy,Function"
Cubic root,https://machinehack.com/practices/printing-the-cube-root-6f33d.html,Hard,"SciPy,Loops,If-Else"
Log Sum Exponential of a list,https://machinehack.com/practices/printing-the-log-sum-exponential-of-a-list-0f4fa.html,Hard,"Function,SciPy,Loops,If-Else,List"
Reverse a NumPy array,https://machinehack.com/practices/reverse-a-numpy-array-fc505.html,Hard,"NumPy,Array"
All combinations of two Numpy arrays,https://machinehack.com/practices/printing-all-combinations-of-two-numpy-arrays-a28ab.html,Hard,"NumPy,Array"
2D array to a 1D array,https://machinehack.com/practices/flattening-a-2d-array-into-a-1d-numpy-array-c689a.html,Hard,"NumPy,List,Array"
Conversion of a matrix into a list,https://machinehack.com/practices/conversion-of-a-matrix-into-a-list-6e85d.html,Hard,"NumPy,Matrix"
Addition of Matrices using NumPy,https://machinehack.com/practices/addition-of-matrices-using-numpy-0d26b.html,Hard,"NumPy,Matrix"
Multiplication of two matrices,https://machinehack.com/practices/multiplication-of-two-matrices-30355.html,Hard,"NumPy,Matrix"
Inversion of a matrix using NumPy,https://machinehack.com/practices/inversion-of-a-matrix-using-numpy-48826.html,Hard,"NumPy,Matrix"
"Replace array elements 
",https://machinehack.com/practices/replacing-array-elements-145b0.html,Hard,"NumPy,Array"
Replacing the diagonal values of a matrix,https://machinehack.com/practices/replacing-the-diagonal-values-of-a-matrix-4880d.html,Hard,"NumPy,Matrix"
Indices of elements equal to zero in an array,https://machinehack.com/practices/printing-the-indices-of-elements-equal-to-zero-in-an-array-b92f7.html,Hard,"NumPy,Array"
 Remove columns containing missing values,https://machinehack.com/practices/removing-columns-containing-nan-values-ae1b5.html,Hard,"NumPy,Array"
All the negative values to zero,https://machinehack.com/practices/replacing-all-the-negative-values-with-zero-in-an-array-049dc.html,Hard,"NumPy,Array"
 Replace the missing value with average,https://machinehack.com/practices/replacing-the-nan-value-with-the-average-of-columns-2161b.html,Hard,"NumPy,Array"
Eigenvectors of a 3D array,https://machinehack.com/practices/printing-the-eigenvectors-of-a-3d-array-ef004.html,Hard,"NumPy,Array"
Repetition of all elements of an array of strings,https://machinehack.com/practices/repetition-of-all-elements-of-an-array-of-strings-2206c.html,Hard,"NumPy,String,Array"
 Stack two arrays index by index,https://machinehack.com/practices/stacking-two-arrays-index-by-index-64121.html,Hard,"NumPy,Array"
Difference between vector norm and condition number ,https://machinehack.com/practices/printing-the-difference-between-vector-norm-and-condition-number-013d8.html,Hard,"NumPy,Matrix"
Euclidean distance using NumPy,https://machinehack.com/practices/printing-the-euclidean-distance-using-numpy-589d4.html,Hard,NumPy
Harmonic mean,https://machinehack.com/practices/calculating-the-harmonic-mean-15b0d.html,Hard,"Function,Array,Statistics"
Calculate the mean,https://machinehack.com/practices/calculating-the-average-9100c.html,Hard,"Array,Function,Statistics"
Calculate the Median,https://machinehack.com/practices/calculating-the-median-98bb7.html,Hard,"Array,Function,Statistics"
Calculate the mode,https://machinehack.com/practices/calculating-the-mode-8b647.html,Hard,"Statistics,Function,Array"
Median of a grouped continuous data,https://machinehack.com/practices/calculating-the-median-of-a-grouped-continuous-data-84f65.html,Hard,"Statistics,Array,Function"
The high median,https://machinehack.com/practices/printing-the-high-median-56657.html,Hard,"Statistics,Function"
Low median,https://machinehack.com/practices/printing-the-low-median-b035c.html,Hard,"Statistics,Function"
Standard deviation of a population,https://machinehack.com/practices/calculating-the-standard-deviation-from-a-population-aa189.html,Hard,"Statistics,Function"
Standard deviation of a sample,https://machinehack.com/practices/calculating-the-standard-deviation-from-a-sample-a50eb.html,Hard,"Statistics,Function"
"Population variance 
",https://machinehack.com/practices/calculating-the-population-variance-052e6.html,Hard,"Statistics,Function"
Sample variance,https://machinehack.com/practices/calculating-the-variance-from-a-sample-420fb.html,Hard,"Statistics,Function"
The N-th quantile,https://machinehack.com/practices/calculating-the-n-quantile-1728a.html,Hard,"Statistics,Function"
The N-th percentile ,https://machinehack.com/practices/calculating-the-n-percentile-010e5.html,Hard,"Statistics,Function"
Interquartile range,https://machinehack.com/practices/calculating-the-interquartile-range-35a23.html,Hard,"Statistics,Function"
Outliers in a dataset,https://machinehack.com/practices/detecting-outliers-in-a-dataset-5bb3d.html,Hard,"Statistics,Function,Array"
Standard skewness estimator,https://machinehack.com/practices/calculating-the-standard-skewness-estimator-c34a1.html,Hard,"Statsmodels,Statistics,Function"
Skewness estimator based on quartiles,https://machinehack.com/practices/calculating-the-skewness-estimator-based-on-quartiles-880ad.html,Hard,"Statsmodels,Statistics,Function,Array"
Skewness estimator standardized by absolute deviation,https://machinehack.com/practices/calculating-the-skewness-estimator-standardized-by-absolute-deviation-eb456.html,Hard,"Statsmodels,Statistics,Function"
Skewness estimator standardized by the standard deviation,https://machinehack.com/practices/calculating-the-skewness-estimator-standardized-by-the-standard-deviation-0691c.html,Hard,"Statsmodels,Statistics,Function,Array"
Standard kurtosis estimator,https://machinehack.com/practices/calculating-the-standard-kurtosis-estimator-0b5c9.html,Hard,"Statsmodels,Statistics"
Kurtosis estimator based on octiles,https://machinehack.com/practices/calculating-the-kurtosis-estimator-based-on-octiles-e0302.html,Hard,"Statsmodels,Statistics,Array,Function"
Kurtosis estimators based on exceedance expectations,https://machinehack.com/practices/calculating-the-kurtosis-estimators-based-on-exceedance-expectations-f71e0.html,Hard,"Statsmodels,Statistics,Function"
Kurtosis measure based on the spread between high and low quantiles,https://machinehack.com/practices/calculating-the-kurtosis-measure-based-on-the-spread-between-high-and-low-quantiles-13422.html,Hard,"Statsmodels,Statistics,Function"
Jarque-Bera test statistic value,https://machinehack.com/practices/calculating-the-jarque-bera-test-statistic-value-7fe64.html,Hard,"Statsmodels,Statistics,Function"
p-value of the Jarque-Bera test statistic,https://machinehack.com/practices/calculating-the-pvalue-of-the-jarque-bera-test-statistic-efa7b.html,Hard,"Statsmodels,Statistics,Function"
Skewness and kurtosis by the Jarque-Bera normality test,https://machinehack.com/practices/calculating-the-skewness-and-kurtosis-by-the-jarque-bera-normality-test-c1be2.html,Hard,"Statsmodels,Statistics,Function"
Chi-square using the omnibus test for normality,https://machinehack.com/practices/calculating-the-chi-2-score-using-the-omnibus-test-for-normality-5d27a.html,Hard,"Statsmodels,Statistics,Function,Array"
